"ini_monit","mac_local","mac_destino","rssi","lqi","latencia","desconexion","tiempo"
2019-02-25 11:48:25,"0010","0004",-58,106,0.100002527236938,0,1551095305
2019-02-25 11:48:25,"0010","0005",-97,106,0.100002527236938,0,1551095305
2019-02-25 11:48:25,"0010","0006",-93,106,0.100002527236938,0,1551095305
2019-02-25 11:48:25,"0010","0002",-100,106,0.100002527236938,0,1551095305
2019-02-25 11:48:26,"0010","0004",-58,106,0.0959975719451904,0,1551095306
2019-02-25 11:48:26,"0010","0005",-97,106,0.0959975719451904,0,1551095306
2019-02-25 11:48:26,"0010","0006",-93,106,0.0959975719451904,0,1551095306
2019-02-25 11:48:26,"0010","0002",-100,106,0.0959975719451904,0,1551095306
2019-02-25 11:48:33,"0010","0004",-57,108,0.0990443229675293,0,1551095313
2019-02-25 11:48:33,"0010","0005",-101,108,0.0990443229675293,0,1551095313
2019-02-25 11:48:33,"0010","0006",-93,108,0.0990443229675293,0,1551095313
2019-02-25 11:48:33,"0010","0002",-100,108,0.0990443229675293,0,1551095313
2019-02-25 11:48:39,"0010","0004",-57,108,0.0919911861419678,0,1551095319
2019-02-25 11:48:39,"0010","0005",-97,108,0.0919911861419678,0,1551095319
2019-02-25 11:48:39,"0010","0006",-94,108,0.0919911861419678,0,1551095319
2019-02-25 11:48:39,"0010","0002",-100,108,0.0919911861419678,0,1551095319
2019-02-25 11:48:40,"0010","0004",-57,108,0.097043514251709,0,1551095320
2019-02-25 11:48:40,"0010","0005",-97,108,0.097043514251709,0,1551095320
2019-02-25 11:48:40,"0010","0006",-94,108,0.097043514251709,0,1551095320
